#OTU ID	S00IK-0001_S1-taxa	S00IK-0002_S2-taxa	S00IK-0003_S3-taxa	S00IK-0004_S4-taxa	S00IK-0005_S5-taxa	S00IK-0006_S6-taxa	S00IK-0007_S7-taxa	S00IK-0008_S8-taxa	S00IK-0009_S9-taxa	S00IK-0010_S10-taxa	S00IK-0011_S11-taxa	S00IK-0012_S12-taxa	S00IK-0013_S13-taxa	S00IK-0014_S14-taxa	S00IK-0015_S15-taxa	S00IK-0016_S16-taxa	S00IK-0017_S17-taxa	S00IK-0018_S18-taxa	S00IK-0019_S19-taxa	S00IK-0020_S20-taxa	S00IK-0021_S21-taxa	S00IK-0022_S22-taxa	S00IK-0023_S23-taxa	S00IK-0024_S24-taxa	S00IK-0025_S25-taxa	S00IK-0026_S26-taxa	S00IK-0027_S27-taxa	S00IK-0028_S28-taxa	S00IK-0029_S29-taxa	S00IK-0030_S30-taxa	S00IK-0031_S31-taxa	S00IK-0032_S32-taxa	S00IK-0033_S33-taxa	S00IK-0034_S34-taxa	S00IK-0035_S35-taxa	S00IK-0036_S36-taxa	S00IK-0037_S37-taxa	S00IK-0038_S38-taxa	S00IK-0039_S39-taxa	S00IK-0040_S40-taxa	Consensus Lineage
2530392	158.0	177.0	61.0	8.0	13.0	121.0	28.0	11.0	103.0	42.0	24.0	13.0	5.0	117.0	41.0	3.0	45.0	33.0	111.0	69.0	13.0	12.0	12.0	6.0	4.0	13.0	5.0	12.0	4.0	2.0	2.0	2.0	2.0	4.0	3.0	0.0	1.0	0.0	4.0	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__sp. C9
2576606	147.0	165.0	52.0	23.0	20.0	98.0	39.0	7.0	93.0	39.0	11.0	26.0	8.0	88.0	25.0	5.0	27.0	29.0	130.0	52.0	14.0	3.0	4.0	7.0	4.0	11.0	4.0	4.0	2.0	6.0	2.0	1.0	1.0	1.0	2.0	5.0	1.0	2.0	9.0	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Duncaniella; s__sp. B8
2606626	2115.0	3310.0	1007.0	1299.0	1306.0	1754.0	2332.0	1084.0	1611.0	858.0	728.0	1896.0	648.0	1201.0	945.0	588.0	674.0	625.0	2554.0	699.0	851.0	836.0	548.0	896.0	615.0	873.0	711.0	845.0	404.0	942.0	772.0	897.0	713.0	714.0	401.0	428.0	621.0	588.0	967.0	643.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Sodaliphilus; s__pleomorphus
816	62301.0	100917.0	40119.0	106034.0	231101.0	42748.0	192131.0	214743.0	41679.0	82263.0	58951.0	142318.0	119641.0	41251.0	126176.0	124282.0	82771.0	64502.0	37453.0	16069.0	91142.0	106058.0	101196.0	197460.0	92007.0	101631.0	82421.0	83128.0	52323.0	112675.0	155174.0	177460.0	139141.0	148645.0	66534.0	67944.0	113400.0	116386.0	132281.0	143846.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
2715212	183914.0	277300.0	118055.0	260740.0	681593.0	109190.0	494544.0	622068.0	119611.0	250746.0	178822.0	372708.0	362480.0	119433.0	367785.0	340069.0	243577.0	201693.0	111847.0	46255.0	240611.0	295135.0	321487.0	605903.0	231576.0	245363.0	202150.0	209709.0	128248.0	286435.0	470168.0	549735.0	433178.0	465587.0	210334.0	205082.0	355119.0	355339.0	405914.0	427035.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. CBA7301
2650157	17998.0	20590.0	8996.0	19374.0	50008.0	8367.0	36713.0	45337.0	10696.0	18546.0	13388.0	27668.0	26887.0	8946.0	27124.0	25140.0	18084.0	15041.0	11028.0	3604.0	17970.0	21730.0	23465.0	44770.0	17145.0	18107.0	15015.0	15547.0	9629.0	20815.0	34328.0	40396.0	31785.0	34073.0	15595.0	15221.0	26251.0	26574.0	29824.0	31665.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. HF-5287
2650158	10619.0	16431.0	7184.0	15258.0	39872.0	6253.0	28970.0	37049.0	7098.0	14914.0	10750.0	21350.0	21324.0	7221.0	22066.0	19854.0	14345.0	11957.0	6461.0	2869.0	14104.0	17148.0	18695.0	35283.0	13523.0	14236.0	11789.0	12387.0	7548.0	16380.0	27514.0	32307.0	25217.0	27387.0	12449.0	11923.0	20495.0	20985.0	23828.0	25308.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. HF-5141
2763022	5187.0	8902.0	3930.0	7992.0	21839.0	3542.0	15672.0	20127.0	3396.0	8149.0	5884.0	11490.0	11615.0	3945.0	12273.0	11017.0	7822.0	6305.0	3149.0	1542.0	7511.0	9063.0	10246.0	19278.0	7084.0	7557.0	6113.0	6418.0	3882.0	8704.0	15309.0	17683.0	13989.0	15074.0	6747.0	6595.0	11490.0	11461.0	13064.0	13926.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. M10
2528203	1930.0	390.0	271.0	383.0	802.0	179.0	664.0	770.0	755.0	316.0	355.0	504.0	410.0	180.0	496.0	380.0	279.0	256.0	1276.0	86.0	329.0	417.0	381.0	635.0	282.0	335.0	321.0	361.0	192.0	370.0	479.0	604.0	477.0	495.0	228.0	218.0	362.0	363.0	443.0	482.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. A1C1
2785531	285.0	569.0	204.0	1233.0	1084.0	437.0	1798.0	390.0	185.0	206.0	187.0	1531.0	247.0	117.0	281.0	430.0	200.0	158.0	170.0	86.0	873.0	1068.0	179.0	402.0	1016.0	1069.0	998.0	1085.0	648.0	1240.0	298.0	382.0	282.0	308.0	149.0	197.0	243.0	230.0	325.0	317.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. HF-162
2755405	280.0	344.0	93.0	456.0	589.0	189.0	725.0	420.0	122.0	163.0	117.0	615.0	221.0	87.0	285.0	265.0	169.0	130.0	163.0	38.0	340.0	460.0	197.0	418.0	432.0	420.0	391.0	418.0	227.0	526.0	304.0	397.0	303.0	297.0	139.0	155.0	236.0	250.0	297.0	287.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. CACC 737
2709390	130.0	572.0	286.0	224.0	1569.0	138.0	639.0	1703.0	157.0	705.0	445.0	388.0	1008.0	359.0	922.0	814.0	685.0	501.0	63.0	103.0	273.0	402.0	825.0	1660.0	201.0	221.0	144.0	136.0	91.0	216.0	1336.0	1536.0	1195.0	1249.0	595.0	535.0	915.0	971.0	1076.0	1168.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. ZJ-18
2162637	117.0	86.0	39.0	9.0	174.0	22.0	51.0	253.0	47.0	105.0	76.0	25.0	128.0	41.0	144.0	96.0	92.0	68.0	69.0	17.0	39.0	42.0	111.0	223.0	11.0	17.0	4.0	8.0	2.0	8.0	188.0	230.0	155.0	185.0	91.0	70.0	141.0	132.0	137.0	193.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__sp. PHL 2737
1796613	209545.0	300872.0	127552.0	290129.0	728394.0	121540.0	547165.0	660493.0	132059.0	261133.0	186799.0	411309.0	379795.0	126654.0	392112.0	367284.0	257148.0	215619.0	126380.0	48889.0	265912.0	320552.0	336158.0	640114.0	258530.0	275627.0	227929.0	233166.0	143658.0	317948.0	494942.0	578417.0	454554.0	487064.0	219638.0	216566.0	373297.0	375873.0	427679.0	454528.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caecimuris
47678	28210.0	35332.0	14653.0	38477.0	83618.0	15292.0	68921.0	70819.0	16713.0	28618.0	21068.0	52785.0	41658.0	14067.0	42972.0	40778.0	27871.0	23672.0	17125.0	5633.0	33038.0	40643.0	36904.0	69994.0	33706.0	35635.0	30468.0	31137.0	19317.0	41617.0	53958.0	63297.0	49269.0	52911.0	23858.0	24009.0	40305.0	40715.0	46998.0	49359.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae
371601	28196.0	46461.0	19780.0	45822.0	112082.0	19118.0	85742.0	99611.0	19450.0	39871.0	29227.0	65440.0	57949.0	19626.0	59063.0	55942.0	38928.0	32492.0	17163.0	7570.0	41497.0	50314.0	51282.0	97367.0	40189.0	43234.0	35882.0	37577.0	23107.0	50084.0	74445.0	87511.0	68116.0	73314.0	32977.0	32784.0	56246.0	56358.0	64199.0	68298.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__xylanisolvens
818	19033.0	28674.0	12376.0	29089.0	67711.0	12149.0	54029.0	60820.0	12852.0	24320.0	18224.0	41535.0	35351.0	11997.0	36343.0	34039.0	24026.0	19440.0	11393.0	4778.0	26190.0	31405.0	30595.0	57734.0	25392.0	27126.0	22756.0	24122.0	14430.0	31356.0	45563.0	52807.0	40801.0	44525.0	19931.0	20112.0	33855.0	33985.0	39161.0	41394.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__thetaiotaomicron
28116	17369.0	27672.0	11670.0	30733.0	64481.0	12900.0	56758.0	54227.0	11882.0	21916.0	16561.0	42651.0	31625.0	10858.0	32457.0	31320.0	21449.0	18537.0	10621.0	4333.0	26866.0	33385.0	28314.0	53131.0	27227.0	30226.0	25078.0	25556.0	15777.0	34563.0	41212.0	47798.0	37071.0	39928.0	18235.0	18211.0	30956.0	30673.0	35643.0	37092.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
817	12707.0	12983.0	7926.0	11701.0	27055.0	5677.0	22734.0	25124.0	9689.0	11119.0	10977.0	17463.0	15156.0	6159.0	16974.0	13173.0	10759.0	9283.0	6099.0	2911.0	11896.0	12692.0	12332.0	22420.0	9535.0	10928.0	8923.0	11035.0	5762.0	11439.0	17252.0	20726.0	16347.0	17643.0	8160.0	7786.0	13398.0	13658.0	15295.0	16267.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
246787	1674.0	2376.0	1121.0	2090.0	5045.0	989.0	4195.0	4668.0	1255.0	1885.0	1578.0	3007.0	2708.0	1152.0	2805.0	2513.0	1859.0	1589.0	997.0	498.0	1996.0	2278.0	2275.0	4200.0	1876.0	1980.0	1626.0	1716.0	996.0	2178.0	3389.0	3900.0	3058.0	3206.0	1456.0	1512.0	2502.0	2462.0	2989.0	3173.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__cellulosilyticus
820	1602.0	3387.0	1682.0	1795.0	7052.0	1166.0	3976.0	7317.0	1648.0	3230.0	2354.0	2919.0	4319.0	1843.0	4312.0	3757.0	3034.0	2438.0	1083.0	734.0	1893.0	2261.0	3757.0	7094.0	1462.0	1516.0	1114.0	1350.0	716.0	1702.0	5145.0	6444.0	5119.0	5284.0	2455.0	2353.0	4046.0	4207.0	4614.0	5042.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
28111	1399.0	1832.0	821.0	1427.0	3548.0	816.0	2732.0	3403.0	978.0	1429.0	1135.0	2009.0	2008.0	852.0	1975.0	1839.0	1314.0	1112.0	933.0	433.0	1291.0	1482.0	1634.0	3170.0	1203.0	1305.0	1032.0	1169.0	637.0	1492.0	2444.0	2848.0	2193.0	2379.0	1112.0	1064.0	1868.0	1818.0	2047.0	2335.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__eggerthii
329854	1118.0	1448.0	636.0	1130.0	3078.0	604.0	2269.0	2823.0	705.0	1150.0	878.0	1684.0	1601.0	656.0	1750.0	1463.0	1103.0	896.0	670.0	340.0	1076.0	1279.0	1361.0	2624.0	1023.0	1138.0	813.0	953.0	571.0	1152.0	2054.0	2359.0	1842.0	2034.0	913.0	913.0	1532.0	1567.0	1786.0	1924.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__intestinalis
28113	1073.0	1324.0	561.0	815.0	2298.0	668.0	1683.0	2100.0	711.0	899.0	597.0	1198.0	1257.0	725.0	1329.0	1232.0	894.0	749.0	692.0	290.0	762.0	947.0	1117.0	2040.0	669.0	813.0	619.0	640.0	403.0	834.0	1579.0	1783.0	1385.0	1533.0	632.0	648.0	1124.0	1221.0	1391.0	1416.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__heparinolyticus
290053	1070.0	1625.0	706.0	1163.0	3209.0	651.0	2255.0	2970.0	752.0	1252.0	944.0	1616.0	1771.0	736.0	1721.0	1716.0	1246.0	1056.0	834.0	329.0	990.0	1164.0	1499.0	2910.0	968.0	978.0	724.0	820.0	529.0	1036.0	2224.0	2539.0	2070.0	2216.0	1014.0	911.0	1667.0	1720.0	1977.0	2027.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__helcogenes
28119	887.0	1349.0	518.0	1188.0	2261.0	759.0	1941.0	2057.0	679.0	874.0	604.0	1640.0	1085.0	691.0	1204.0	1122.0	857.0	661.0	643.0	331.0	1000.0	1162.0	953.0	1929.0	1006.0	1101.0	935.0	973.0	555.0	1146.0	1474.0	1737.0	1368.0	1407.0	651.0	637.0	1133.0	1110.0	1320.0	1377.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__zoogleoformans
151276	390.0	408.0	200.0	334.0	862.0	211.0	640.0	853.0	230.0	378.0	298.0	463.0	502.0	212.0	532.0	475.0	421.0	306.0	188.0	132.0	314.0	377.0	506.0	811.0	330.0	329.0	249.0	265.0	170.0	301.0	654.0	766.0	621.0	657.0	278.0	273.0	508.0	472.0	593.0	616.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__coprosuis
2005525	11.0	22.0	14.0	2.0	11.0	1.0	14.0	23.0	5.0	10.0	5.0	11.0	13.0	5.0	14.0	10.0	10.0	2.0	3.0	5.0	5.0	1.0	10.0	20.0	5.0	3.0	1.0	13.0	0.0	0.0	22.0	26.0	22.0	22.0	23.0	11.0	14.0	26.0	28.0	30.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__; s__
375288	11600.0	9882.0	19706.0	18513.0	19197.0	5567.0	36398.0	16842.0	18318.0	11705.0	27345.0	31037.0	9294.0	2722.0	8262.0	7877.0	2803.0	10378.0	3029.0	2910.0	12751.0	15647.0	4178.0	6818.0	13113.0	14891.0	11667.0	16442.0	7002.0	12772.0	11469.0	11962.0	9184.0	11318.0	10172.0	6894.0	7254.0	11507.0	9468.0	9497.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__
328812	304219.0	441307.0	204465.0	82432.0	188277.0	110776.0	360935.0	313487.0	147277.0	205529.0	450195.0	350230.0	64389.0	164909.0	300490.0	330926.0	117936.0	66866.0	207802.0	135684.0	431126.0	167440.0	77679.0	131430.0	81312.0	304439.0	151508.0	595807.0	101547.0	84695.0	939125.0	850646.0	720138.0	910335.0	985455.0	565312.0	547667.0	1063578.0	731453.0	716138.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__goldsteinii
823	7422.0	16133.0	9565.0	6910.0	40290.0	4665.0	19511.0	46889.0	7390.0	18827.0	14135.0	12943.0	26540.0	8467.0	26474.0	22217.0	17988.0	13804.0	3819.0	3589.0	9564.0	11539.0	22656.0	43366.0	6916.0	7002.0	4765.0	5485.0	3190.0	7809.0	31080.0	40196.0	31261.0	33337.0	15210.0	13828.0	25618.0	26079.0	28855.0	31115.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__distasonis
2025876	362.0	198.0	183.0	230.0	326.0	133.0	359.0	252.0	255.0	129.0	179.0	334.0	163.0	96.0	186.0	130.0	122.0	142.0	185.0	48.0	235.0	174.0	117.0	232.0	150.0	222.0	163.0	259.0	96.0	206.0	182.0	218.0	150.0	181.0	111.0	97.0	141.0	165.0	154.0	150.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__sp. CT06
195950	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Tannerella; s__
712710	658.0	833.0	327.0	135.0	459.0	460.0	403.0	588.0	519.0	376.0	328.0	259.0	362.0	493.0	500.0	228.0	340.0	326.0	462.0	273.0	208.0	166.0	348.0	533.0	66.0	126.0	52.0	119.0	26.0	52.0	364.0	503.0	396.0	417.0	187.0	178.0	339.0	315.0	350.0	329.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Tannerella; s__sp. oral taxon HOT-286
28112	199.0	305.0	94.0	135.0	193.0	169.0	243.0	185.0	207.0	102.0	67.0	170.0	100.0	240.0	128.0	116.0	97.0	81.0	215.0	83.0	97.0	73.0	67.0	140.0	55.0	69.0	43.0	73.0	57.0	82.0	96.0	137.0	93.0	99.0	59.0	59.0	71.0	73.0	102.0	103.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Tannerella; s__forsythia
909656	632.0	1311.0	383.0	1317.0	1754.0	758.0	2282.0	1205.0	691.0	496.0	439.0	1696.0	714.0	631.0	796.0	839.0	568.0	457.0	544.0	305.0	1001.0	1153.0	625.0	1093.0	1037.0	1224.0	1032.0	1138.0	616.0	1242.0	840.0	1044.0	779.0	849.0	397.0	454.0	658.0	622.0	782.0	837.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__Phocaeicola; s__
821	9534.0	15232.0	9619.0	11577.0	34648.0	5715.0	24353.0	36245.0	9257.0	15138.0	13551.0	17628.0	21259.0	7621.0	22998.0	17776.0	14935.0	13679.0	3986.0	3484.0	13210.0	13983.0	17646.0	31816.0	10349.0	11556.0	8967.0	10811.0	5518.0	11465.0	24301.0	29484.0	23585.0	24656.0	11719.0	11101.0	19442.0	19206.0	22052.0	23575.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__Phocaeicola; s__vulgatus
357276	3965.0	3763.0	2012.0	3395.0	7509.0	1817.0	6327.0	7109.0	2682.0	2993.0	2673.0	4823.0	4190.0	1848.0	4626.0	3845.0	3020.0	2565.0	2170.0	833.0	3220.0	3527.0	3547.0	6563.0	2749.0	3050.0	2501.0	2937.0	1553.0	3330.0	5053.0	5993.0	4792.0	5092.0	2290.0	2269.0	3964.0	3935.0	4462.0	4791.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__Phocaeicola; s__dorei
376805	1174.0	1481.0	706.0	595.0	1848.0	680.0	1395.0	2153.0	859.0	990.0	842.0	966.0	1313.0	788.0	1330.0	1081.0	948.0	745.0	746.0	345.0	657.0	765.0	1133.0	1909.0	443.0	600.0	425.0	485.0	281.0	599.0	1383.0	1819.0	1307.0	1408.0	647.0	619.0	1154.0	1075.0	1319.0	1356.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__Phocaeicola; s__salanitronis
387090	593.0	1374.0	574.0	638.0	2402.0	489.0	1420.0	2743.0	639.0	1088.0	787.0	991.0	1439.0	711.0	1547.0	1347.0	1009.0	775.0	530.0	348.0	668.0	759.0	1279.0	2398.0	534.0	579.0	375.0	430.0	268.0	609.0	1809.0	2173.0	1730.0	1866.0	834.0	847.0	1376.0	1456.0	1674.0	1813.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__Phocaeicola; s__coprophilus
