"Genus","ARO_Accession","Resistance_Mechanism","Group","statistic","p.value","estimate","qval"
"Nakaseomyces","3000196","antibiotic target protection","CON",246,0.154442672733181,-0.490909090909091,0.277996810919725
"Tetrapisispora","3000196","antibiotic target protection","LM",246,0.154442672733181,-0.490909090909091,0.907991205244752
"Torulaspora","3000190","antibiotic target protection","LM",244.975345579879,0.155667251439218,-0.484699064120481,0.821100701875563
"Candida","3003948","antibiotic efflux","LM",242.871910742954,0.168458332706264,-0.471950974199722,0.813974569035025
"Eremothecium","3002875","antibiotic target replacement","LM",241.349789276596,0.178093509881046,-0.462725995615735,0.467495463437745
"Debaryomyces","3000300","antibiotic target protection","CON",239.216899343399,0.192131997137238,-0.449799389959991,0.412009521515099
"Debaryomyces","3002875","antibiotic target replacement","CON",239.216899343399,0.192131997137238,-0.449799389959991,0.412009521515099
"Eremothecium","3000190","antibiotic target protection","CON",238.604956729642,0.196275599147384,-0.446090646846313,0.732386045689473
"Eremothecium","3004122","reduced permeability to antibiotic","LM",238,0.204200583289326,-0.442424242424242,0.467918018994367
"Nakaseomyces","3005053","antibiotic target alteration","LM",238,0.204200583289326,-0.442424242424242,0.981078622791151
"Nakaseomyces","3000300","antibiotic target protection","LM",236.19101973088,0.213124726760704,-0.431460725641698,0.981078622791151
"Torulaspora","3003922","antibiotic efflux","LM",236,0.218028474590315,-0.43030303030303,0.821100701875563
"Candida","3000300","antibiotic target protection","LM",235.159265821737,0.220571289536283,-0.425207671646891,0.813974569035025
"Eremothecium","3000190","antibiotic target protection","LM",234.851884114072,0.222818104283032,-0.423344752206496,0.467918018994367
"Candida","3000190","antibiotic target protection","CON",234.338002716329,0.226603343210393,-0.420230319492903,0.509857522223385
"Pichia","3007180","antibiotic inactivation","LM",234,0.232418098250503,-0.418181818181818,0.450636118341744
"Torulaspora","3004588","antibiotic efflux","LM",234,0.232418098250503,-0.418181818181818,0.821100701875563
"Debaryomyces","3003551","antibiotic efflux","CON",232.019897542944,0.244128681896491,-0.406181197229962,0.412009521515099
"Eremothecium","3003551","antibiotic efflux","CON",232.019897542944,0.244128681896491,-0.406181197229962,0.732386045689473
"Pichia","3003551","antibiotic efflux","CON",232.019897542944,0.244128681896491,-0.406181197229962,0.549289534267105
"Tetrapisispora","3003551","antibiotic efflux","CON",232.019897542944,0.244128681896491,-0.406181197229962,0.372596825532459
"Yarrowia","3000375","antibiotic target alteration","CON",232.019897542944,0.244128681896491,-0.406181197229962,0.599575322701175
"Yarrowia","3000191","antibiotic target protection","LM",232.019897542944,0.244128681896491,-0.406181197229962,1
"Debaryomyces","3004588","antibiotic efflux","LM",232,0.247370787611931,-0.406060606060606,1
"Tetrapisispora","3003948","antibiotic efflux","CON",231.469484033595,0.248397883688306,-0.402845357779362,0.372596825532459
"Talaromyces","3003948","antibiotic efflux","LM",230.071048703016,0.259430172039091,-0.394369992139494,0.415164446478053
"Pichia","3003551","antibiotic efflux","LM",230.000496276021,0.259993799805438,-0.393942401672855,0.450636118341744
"Torulaspora","3003923","antibiotic efflux","LM",230,0.262886783524689,-0.393939393939394,0.821100701875563
"Yarrowia","3000191","antibiotic target protection","CON",229.194825412615,0.266477921200522,-0.389059547955241,0.599575322701175
"Torulaspora","3000516","antibiotic efflux","LM",229.194825412615,0.266477921200522,-0.389059547955241,0.821100701875563
"Nakaseomyces","3002875","antibiotic target replacement","LM",228.968742366878,0.268313228290157,-0.387689347678048,0.981078622791151
"Candida","3000196","antibiotic target protection","LM",228,0.278965216116317,-0.381818181818182,0.813974569035025
"Talaromyces","3000300","antibiotic target protection","LM",227.936988457735,0.276776297652035,-0.381436293683241,0.415164446478053
"Torulaspora","3002459","antibiotic inactivation","LM",225.182648824326,0.300066969464665,-0.364743326208039,0.821100701875563
"Torulaspora","3004580","antibiotic efflux","LM",224,0.312800267381167,-0.357575757575757,0.821100701875563
"Nakaseomyces","3003551","antibiotic efflux","LM",223.809972821162,0.312049694218464,-0.356424077704012,0.981078622791151
"Candida","3000375","antibiotic target alteration","LM",222,0.330549465992496,-0.345454545454545,0.813974569035025
"Eremothecium","3004580","antibiotic efflux","LM",222,0.330549465992496,-0.345454545454545,0.563520855485786
"Eremothecium","3007180","antibiotic inactivation","LM",222,0.330549465992496,-0.345454545454545,0.563520855485786
"Pyricularia","3000375","antibiotic target alteration","LM",222,0.330549465992496,-0.345454545454545,0.890729754103174
"Eremothecium","3000196","antibiotic target protection","LM",220,0.348846243872153,-0.333333333333333,0.563520855485786
"Yarrowia","3000300","antibiotic target protection","LM",219.682957184589,0.349551937404899,-0.331411861724783,1
"Pichia","3000196","antibiotic target protection","LM",218,0.367683999158498,-0.321212121212121,0.539498212025938
"Torulaspora","3000518","antibiotic efflux","LM",218,0.367683999158498,-0.321212121212121,0.857929331369828
"Pyricularia","3000190","antibiotic target protection","CON",215.136709656423,0.393354744416693,-0.303858846402561,0.5986907173408
"Nakaseomyces","3003948","antibiotic efflux","LM",215.136709656423,0.393354744416693,-0.303858846402561,0.981078622791151
"Candida","3002875","antibiotic target replacement","LM",214.524187638873,0.399449856585974,-0.300146591750747,0.838844698830545
"Eremothecium","3000375","antibiotic target alteration","CON",212.871355387817,0.416120253507059,-0.29012942659283,0.936270570390883
"Nakaseomyces","3003551","antibiotic efflux","CON",212.871355387817,0.416120253507059,-0.29012942659283,0.624180380260589
"Torulaspora","3000375","antibiotic target alteration","CON",212.871355387817,0.416120253507059,-0.29012942659283,0.818974814317248
"Pichia","3000300","antibiotic target protection","LM",211.428925911444,0.430930640169285,-0.281387429766325,0.539498212025938
"Yarrowia","3003551","antibiotic efflux","LM",211.428925911444,0.430930640169285,-0.281387429766325,1
"Pichia","3003948","antibiotic efflux","LM",210.86975564311,0.436736647830521,-0.277998519049151,0.539498212025938
"Pyricularia","3007180","antibiotic inactivation","LM",210,0.448272158936988,-0.272727272727273,0.890729754103174
"Tetrapisispora","3000375","antibiotic target alteration","LM",210,0.448272158936988,-0.272727272727273,0.907991205244752
"Torulaspora","3000191","antibiotic target protection","CON",209.133942471173,0.454986007954027,-0.267478439219228,0.818974814317248
"Nakaseomyces","3001855","antibiotic inactivation","LM",208.530884302972,0.461405071361409,-0.263823541230135,0.981078622791151
"Eremothecium","3003922","antibiotic efflux","LM",206,0.491555497342584,-0.248484848484848,0.688177696279617
"Pichia","3003948","antibiotic efflux","CON",204.431049850438,0.506085389282941,-0.238976059699622,0.759128083924412
"Pyricularia","3000518","antibiotic efflux","LM",204,0.513898326223936,-0.236363636363636,0.890729754103174
"Fusarium","3000190","antibiotic target protection","CON",202.335847616485,0.529592020309138,-0.226277864342333,0.59579102284778
"Pyricularia","3000300","antibiotic target protection","CON",202.108449671699,0.532169526525156,-0.224899694979996,0.5986907173408
"Pyricularia","3002875","antibiotic target replacement","CON",202.108449671699,0.532169526525156,-0.224899694979996,0.5986907173408
"Debaryomyces","3003209","antibiotic inactivation","LM",202,0.536688086753551,-0.224242424242424,1
"Torulaspora","3003209","antibiotic inactivation","LM",202,0.536688086753551,-0.224242424242424,0.928204968562251
"Eremothecium","3000516","antibiotic efflux","LM",201.109589294596,0.543550917404024,-0.218845995724823,0.713410579092782
"Yarrowia","3000375","antibiotic target alteration","LM",200,0.559908079271241,-0.212121212121212,1
"Candida","3001855","antibiotic inactivation","LM",198.407422837165,0.574812552641861,-0.20246922931615,0.915854454638905
"Yarrowia","3001855","antibiotic inactivation","LM",198.407422837165,0.574812552641861,-0.20246922931615,1
"Debaryomyces","3000196","antibiotic target protection","CON",198,0.58354058456642,-0.2,0.656483157637223
"Debaryomyces","3004580","antibiotic efflux","LM",198,0.58354058456642,-0.2,1
"Torulaspora","3000196","antibiotic target protection","LM",198,0.58354058456642,-0.2,0.928204968562251
"Debaryomyces","3002459","antibiotic inactivation","LM",197.097412706307,0.590206775859425,-0.194529773977621,1
"Yarrowia","3000516","antibiotic efflux","LM",197.097412706307,0.590206775859425,-0.194529773977621,1
"Tetrapisispora","3000518","antibiotic efflux","LM",194,0.631967363906088,-0.175757575757576,0.907991205244752
"Fusarium","3000375","antibiotic target alteration","CON",193.72281323269,0.630536075556976,-0.174077655955698,0.630536075556976
"Torulaspora","3003551","antibiotic efflux","CON",193.72281323269,0.630536075556976,-0.174077655955698,0.943272662504124
"Yarrowia","3003551","antibiotic efflux","CON",193.72281323269,0.630536075556976,-0.174077655955698,0.720902433087236
"Pyricularia","3000191","antibiotic target protection","LM",193.72281323269,0.630536075556976,-0.174077655955698,0.890729754103174
"Tetrapisispora","3000191","antibiotic target protection","LM",193.72281323269,0.630536075556976,-0.174077655955698,0.907991205244752
"Torulaspora","3000191","antibiotic target protection","LM",193.72281323269,0.630536075556976,-0.174077655955698,0.928204968562251
"Eremothecium","3000191","antibiotic target protection","CON",191.079147823875,0.662762297244448,-0.158055441356817,0.940300529433952
"Eremothecium","3003209","antibiotic inactivation","LM",190,0.681807643477163,-0.151515151515151,0.842232971354142
"Yarrowia","3003948","antibiotic efflux","LM",189.534985576547,0.681822724838232,-0.148696882282104,1
"Fusarium","3003551","antibiotic efflux","LM",188.730339910293,0.691820267084064,-0.143820241880566,0.815615652416095
"Candida","3003923","antibiotic efflux","LM",188,0.707203785571239,-0.139393939393939,0.915854454638905
"Tetrapisispora","3004122","reduced permeability to antibiotic","LM",188,0.707203785571239,-0.139393939393939,0.907991205244752
"Torulaspora","3007180","antibiotic inactivation","LM",188,0.707203785571239,-0.139393939393939,0.928204968562251
"Fusarium","3003948","antibiotic efflux","LM",187.401508569891,0.708424318328075,-0.1357667186054,0.815615652416095
"Nakaseomyces","3003209","antibiotic inactivation","LM",186,0.732886836413125,-0.127272727272727,0.987959127584939
"Yarrowia","3000518","antibiotic efflux","LM",186,0.732886836413125,-0.127272727272727,1
"Eremothecium","3005053","antibiotic target alteration","LM",184,0.758833070490857,-0.115151515151515,0.864753528804526
"Nakaseomyces","3000190","antibiotic target protection","CON",183.134554556578,0.762462917219955,-0.10990639125199,0.940300529433952
"Candida","3000516","antibiotic efflux","LM",182.051750500226,0.77633406024091,-0.103343942425611,0.915854454638905
"Candida","3004580","antibiotic efflux","LM",182,0.785018103976204,-0.103030303030303,0.915854454638905
"Torulaspora","3003948","antibiotic efflux","CON",181.899021364473,0.778295260834846,-0.102418311299838,0.943272662504124
"Debaryomyces","3001855","antibiotic inactivation","LM",180.185192198711,0.80037764473834,-0.0920314678709773,1
"Eremothecium","3001855","antibiotic inactivation","LM",180.185192198711,0.80037764473834,-0.0920314678709773,0.864753528804526
"Tetrapisispora","3000190","antibiotic target protection","LM",178.16049990555,0.826629420565529,-0.0797606054881803,0.907991205244752
"Candida","3000518","antibiotic efflux","LM",178,0.83800409458326,-0.0787878787878788,0.926215051907814
"Candida","3003948","antibiotic efflux","CON",177.39261566728,0.836627624494491,-0.0751067616198811,0.924403147263953
"Torulaspora","3001855","antibiotic inactivation","LM",176.135807612388,0.853036803343083,-0.0674897431053834,0.942830151063408
"Eremothecium","3000375","antibiotic target alteration","LM",176,0.864753528804526,-0.0666666666666667,0.864753528804526
"Eremothecium","3005059","antibiotic efflux","LM",176,0.864753528804526,-0.0666666666666667,0.864753528804526
"Nakaseomyces","3000375","antibiotic target alteration","LM",176,0.864753528804526,-0.0666666666666667,0.987959127584939
"Pyricularia","3005059","antibiotic efflux","LM",176,0.864753528804526,-0.0666666666666667,0.907991205244752
"Tetrapisispora","3003923","antibiotic efflux","LM",176,0.864753528804526,-0.0666666666666667,0.907991205244752
"Eremothecium","3000300","antibiotic target protection","CON",174.990736450073,0.868031598583425,-0.0605499178792296,0.940300529433952
"Eremothecium","3002875","antibiotic target replacement","CON",174.990736450073,0.868031598583425,-0.0605499178792296,0.940300529433952
"Tetrapisispora","3000190","antibiotic target protection","CON",174.600646529953,0.873148747673779,-0.0581857365451712,0.873494892371295
"Debaryomyces","3004580","antibiotic efflux","CON",174.574271077563,0.873494892371295,-0.058025885318566,0.873494892371295
"Nakaseomyces","3000375","antibiotic target alteration","CON",174.574271077563,0.873494892371295,-0.058025885318566,0.940300529433952
"Pichia","3000375","antibiotic target alteration","CON",174.574271077563,0.873494892371295,-0.058025885318566,0.929362010141401
"Talaromyces","3000375","antibiotic target alteration","CON",174.574271077563,0.873494892371295,-0.058025885318566,0.929362010141401
"Tetrapisispora","3000375","antibiotic target alteration","CON",174.574271077563,0.873494892371295,-0.058025885318566,0.873494892371295
"Fusarium","3000191","antibiotic target protection","LM",174.574271077563,0.873494892371295,-0.058025885318566,0.877282158118091
"Nakaseomyces","3000190","antibiotic target protection","LM",174.111115319227,0.879576332850594,-0.0552188807225864,0.987959127584939
"Talaromyces","3000191","antibiotic target protection","CON",174.027397323649,0.880676201234614,-0.0547114989312058,0.929362010141401
"Candida","3004588","antibiotic efflux","LM",174,0.891638843953117,-0.0545454545454545,0.936220786150773
"Yarrowia","3005053","antibiotic target alteration","LM",174,0.891638843953117,-0.0545454545454545,1
"Nakaseomyces","3002459","antibiotic inactivation","LM",173.024353176577,0.893867782100659,-0.0486324434944052,0.987959127584939
"Talaromyces","3002875","antibiotic target replacement","LM",171.190523454859,0.918044094411811,-0.0375183239688433,0.918044094411811
"Candida","3000300","antibiotic target protection","CON",170.708992257184,0.924403147263953,-0.0345999530738455,0.924403147263953
"Candida","3002875","antibiotic target replacement","CON",170.708992257184,0.924403147263953,-0.0345999530738455,0.924403147263953
"Pichia","3000190","antibiotic target protection","CON",170.333692516641,0.929362010141401,-0.0323254091917618,0.929362010141401
"Torulaspora","3002875","antibiotic target replacement","LM",170.158769545716,0.93167403784024,-0.0312652699740361,0.972841176143636
"Debaryomyces","3004122","reduced permeability to antibiotic","LM",170,0.945709808351989,-0.0303030303030303,1
"Torulaspora","3000300","antibiotic target protection","CON",169.281744192888,0.943272662504124,-0.0259499648053841,0.943272662504124
"Torulaspora","3002875","antibiotic target replacement","CON",169.281744192888,0.943272662504124,-0.0259499648053841,0.943272662504124
"Torulaspora","3005059","antibiotic efflux","LM",168,0.972841176143636,-0.0181818181818182,0.972841176143636
"Yarrowia","3003923","antibiotic efflux","LM",168,0.972841176143636,-0.0181818181818182,1
"Pyricularia","3000300","antibiotic target protection","LM",167.063507818286,0.972647167098284,-0.0125061079896144,0.972647167098284
"Debaryomyces","3000300","antibiotic target protection","LM",166.031753909143,0.986321979214696,-0.00625305399480722,1
"Candida","3003922","antibiotic efflux","LM",166,1,-0.00606060606060606,1
"Debaryomyces","3003923","antibiotic efflux","LM",166,1,-0.00606060606060606,1
"Yarrowia","3000196","antibiotic target protection","LM",166,1,-0.00606060606060606,1
"Nakaseomyces","3004580","antibiotic efflux","LM",164,1,0.00606060606060606,1
"Yarrowia","3005059","antibiotic efflux","LM",164,1,0.00606060606060606,1
"Tetrapisispora","3000516","antibiotic efflux","LM",163.996955852928,0.986702557645114,0.00607905543680065,0.986702557645114
"Eremothecium","3003948","antibiotic efflux","CON",160.493594302807,0.940300529433952,0.0273115496799568,0.940300529433952
"Nakaseomyces","3003948","antibiotic efflux","CON",160.493594302807,0.940300529433952,0.0273115496799568,0.940300529433952
"Debaryomyces","3003922","antibiotic efflux","LM",160,0.94570980835199,0.0303030303030303,1
"Nakaseomyces","3004588","antibiotic efflux","LM",160,0.94570980835199,0.0303030303030303,0.992995298769589
"Talaromyces","3000190","antibiotic target protection","CON",159.666307483359,0.929362010141401,0.0323254091917618,0.929362010141401
"Debaryomyces","3005053","antibiotic target alteration","LM",158,0.918633282432669,0.0424242424242424,1
"Yarrowia","3004122","reduced permeability to antibiotic","LM",158,0.918633282432669,0.0424242424242424,1
"Yarrowia","3002875","antibiotic target replacement","LM",157.777722635998,0.904433350336709,0.0437713779636506,1
"Nakaseomyces","3000518","antibiotic efflux","LM",156,0.891638843953118,0.0545454545454545,0.987959127584939
"Fusarium","3000300","antibiotic target protection","LM",155.714214817711,0.877282158118091,0.056277485953265,0.877282158118091
"Pichia","3002875","antibiotic target replacement","LM",155.714214817711,0.877282158118091,0.056277485953265,0.877282158118091
"Eremothecium","3004580","antibiotic efflux","CON",155.425728922437,0.873494892371295,0.058025885318566,0.940300529433952
"Pyricularia","3003551","antibiotic efflux","CON",155.425728922437,0.873494892371295,0.058025885318566,0.873494892371295
"Talaromyces","3003551","antibiotic efflux","CON",155.425728922437,0.873494892371295,0.058025885318566,0.929362010141401
"Pichia","3000191","antibiotic target protection","LM",155.425728922437,0.873494892371295,0.058025885318566,0.877282158118091
"Talaromyces","3000191","antibiotic target protection","LM",155.425728922437,0.873494892371295,0.058025885318566,0.91716963698986
"Nakaseomyces","3005059","antibiotic efflux","LM",154,0.864753528804526,0.0666666666666667,0.987959127584939
"Pyricularia","3000196","antibiotic target protection","LM",154,0.864753528804526,0.0666666666666667,0.907991205244752
"Tetrapisispora","3002459","antibiotic inactivation","LM",153.966514382207,0.854375060917278,0.0668696098048071,0.907991205244752
"Debaryomyces","3000190","antibiotic target protection","LM",153.864192387612,0.853036803343083,0.0674897431053834,1
"Torulaspora","3000300","antibiotic target protection","LM",153.650706999425,0.85024574294182,0.0687835939428795,0.942830151063408
"Debaryomyces","3000516","antibiotic efflux","LM",152.963470235135,0.841271267559294,0.0729486652416077,1
"Tetrapisispora","3003551","antibiotic efflux","LM",152.618953090282,0.836778419628783,0.0750366479376867,0.907991205244752
"Nakaseomyces","3003923","antibiotic efflux","LM",152,0.83800409458326,0.0787878787878788,0.987959127584939
"Yarrowia","3002459","antibiotic inactivation","LM",150.957381940991,0.815171544541529,0.085106776115209,1
"Tetrapisispora","3003922","antibiotic efflux","LM",150,0.811416953056797,0.0909090909090909,0.907991205244752
"Tetrapisispora","3004588","antibiotic efflux","LM",148,0.785018103976205,0.103030303030303,0.907991205244752
"Torulaspora","3005053","antibiotic target alteration","LM",148,0.785018103976205,0.103030303030303,0.942830151063408
"Candida","3002459","antibiotic inactivation","LM",147.948249499774,0.77633406024091,0.103343942425611,0.915854454638905
"Pyricularia","3000516","antibiotic efflux","LM",146.945205352702,0.763482646374149,0.109422997862412,0.890729754103174
"Tetrapisispora","3003948","antibiotic efflux","LM",146.865445443422,0.762462917219955,0.10990639125199,0.907991205244752
"Pyricularia","3003551","antibiotic efflux","LM",146.428429635423,0.756881552988749,0.11255497190653,0.890729754103174
"Pyricularia","3004122","reduced permeability to antibiotic","LM",146,0.758833070490857,0.115151515151515,0.890729754103174
"Pyricularia","3001855","antibiotic inactivation","LM",145.765423214966,0.748433303989289,0.116573192636571,0.890729754103174
"Fusarium","3000516","antibiotic efflux","LM",144.939117058558,0.737937971233609,0.121581108736013,0.815615652416095
"Candida","3005053","antibiotic target alteration","LM",144,0.732886836413125,0.127272727272727,0.915854454638905
"Fusarium","3003923","antibiotic efflux","LM",144,0.732886836413125,0.127272727272727,0.815615652416095
"Candida","3000190","antibiotic target protection","LM",143.740730921804,0.722786082611341,0.128844055019368,0.915854454638905
"Yarrowia","3000300","antibiotic target protection","CON",143.591279035558,0.720902433087236,0.129749824026921,0.720902433087236
"Yarrowia","3002875","antibiotic target replacement","CON",143.591279035558,0.720902433087236,0.129749824026921,0.720902433087236
"Fusarium","3003922","antibiotic efflux","LM",142,0.707203785571239,0.139393939393939,0.815615652416095
"Tetrapisispora","3005059","antibiotic efflux","LM",142,0.707203785571239,0.139393939393939,0.907991205244752
"Yarrowia","3007180","antibiotic inactivation","LM",142,0.707203785571239,0.139393939393939,1
"Talaromyces","3001855","antibiotic inactivation","LM",141.716038628643,0.697385072445867,0.141114917402165,0.770794027440169
"Torulaspora","3003948","antibiotic efflux","LM",140.465014423453,0.681822724838232,0.148696882282104,0.928204968562251
"Tetrapisispora","3000300","antibiotic target protection","LM",140.237906180563,0.679008929705254,0.150073295875373,0.907991205244752
"Talaromyces","3000196","antibiotic target protection","CON",140,0.681807643477163,0.151515151515151,0.929362010141401
"Candida","3004122","reduced permeability to antibiotic","LM",140,0.681807643477163,0.151515151515151,0.915854454638905
"Torulaspora","3003551","antibiotic efflux","LM",139.20615227142,0.666271176424814,0.156326349870181,0.928204968562251
"Nakaseomyces","3000516","antibiotic efflux","LM",138.920852176125,0.662762297244448,0.158055441356817,0.987959127584939
"Debaryomyces","3003551","antibiotic efflux","LM",137.142644453134,0.641027449317333,0.168832457859795,1
"Pichia","3004580","antibiotic efflux","CON",136.27718676731,0.630536075556976,0.174077655955698,0.810689240001827
"Yarrowia","3004580","antibiotic efflux","CON",136.27718676731,0.630536075556976,0.174077655955698,0.720902433087236
"Debaryomyces","3003948","antibiotic efflux","LM",136.19806041014,0.629579804222883,0.174557209635514,1
"Yarrowia","3004580","antibiotic efflux","LM",136,0.631967363906089,0.175757575757576,1
"Fusarium","3002875","antibiotic target replacement","LM",134.047382725704,0.603781683831368,0.187591619844217,0.815615652416095
"Debaryomyces","3000375","antibiotic target alteration","LM",134,0.607566897460635,0.187878787878788,1
"Pichia","3001855","antibiotic inactivation","LM",133.617269455997,0.598668304071766,0.190198366933353,0.661686020289846
"Candida","3000191","antibiotic target protection","CON",131.89954314662,0.578406144649845,0.200608829414421,0.867609216974767
"Pyricularia","3003948","antibiotic efflux","LM",129.797629390171,0.553970853505802,0.213347700665628,0.890729754103174
"Pyricularia","3000190","antibiotic target protection","LM",129.567884869674,0.551324748075931,0.214740091698947,0.890729754103174
"Debaryomyces","3007180","antibiotic inactivation","LM",128,0.536688086753551,0.224242424242424,1
"Fusarium","3004122","reduced permeability to antibiotic","LM",128,0.536688086753551,0.224242424242424,0.815615652416095
"Tetrapisispora","3004580","antibiotic efflux","LM",128,0.536688086753551,0.224242424242424,0.907991205244752
"Nakaseomyces","3004122","reduced permeability to antibiotic","LM",126,0.513898326223936,0.236363636363636,0.981078622791151
"Pyricularia","3003923","antibiotic efflux","LM",126,0.513898326223936,0.236363636363636,0.890729754103174
"Debaryomyces","3003948","antibiotic efflux","CON",125.568950149562,0.506085389282941,0.238976059699622,0.650681214792353
"Pichia","3000190","antibiotic target protection","LM",125.518500283351,0.505524849001354,0.239281816464541,0.58977899050158
"Pyricularia","3002459","antibiotic inactivation","LM",124.878234117116,0.49843371099778,0.243162217472026,0.890729754103174
"Fusarium","3000518","antibiotic efflux","LM",124,0.491555497342584,0.248484848484848,0.815615652416095
"Nakaseomyces","3003922","antibiotic efflux","LM",124,0.491555497342584,0.248484848484848,0.981078622791151
"Pyricularia","3000191","antibiotic target protection","CON",123.875189970044,0.487410415615349,0.249241272908826,0.5986907173408
"Fusarium","3000190","antibiotic target protection","LM",123.493807990189,0.483246886873894,0.251552678847338,0.815615652416095
"Tetrapisispora","3000191","antibiotic target protection","CON",122.872145822972,0.476493453351336,0.255320328345627,0.612634440023146
"Yarrowia","3003948","antibiotic efflux","CON",122.189145876668,0.469121616285919,0.259459721959589,0.720902433087236
"Torulaspora","3000375","antibiotic target alteration","LM",122,0.469675250206491,0.260606060606061,0.928204968562251
"Yarrowia","3003922","antibiotic efflux","LM",122,0.469675250206491,0.260606060606061,1
"Yarrowia","3003209","antibiotic inactivation","LM",120,0.448272158936988,0.272727272727273,1
"Talaromyces","3003948","antibiotic efflux","CON",119.935943028071,0.445165086875915,0.273115496799568,0.929362010141401
