"Subsystem.Level.3","Opportunistic
Bacteria","cat","statistic","p.value","estimate","qval","Group","label.lm","label.con"
"Regulation of
Oxidative Stress Response","Klebsiella","Up",16,0.000880224994754143,0.903030303030303,0.00352089997901657,"LM","LM: ρ=0.9, q=0.0035",NA
"Regulation of
Oxidative Stress Response","Enterococcus","Up",110,0.348846243872153,0.333333333333333,0.52326936580823,"LM","LM: ρ=0.33, q=0.52",NA
"Regulation of
Oxidative Stress Response","Streptococcus","Down",178,0.83800409458326,-0.0787878787878788,0.83800409458326,"LM","LM: ρ=-0.08, q=0.84",NA
"Regulation of
Oxidative Stress Response","Staphylococcus","Down",194,0.631967363906088,-0.175757575757576,0.758360836687306,"LM","LM: ρ=-0.18, q=0.76",NA
"Regulation of
Oxidative Stress Response","Campylobacter","Up",300,0.0068111327718268,-0.818181818181818,0.0163467186523843,"LM","LM: ρ=-0.82, q=0.016",NA
"Regulation of
Oxidative Stress Response","Escherichia","Up",20,0.0019770587107552,0.878787878787879,0.00593117613226561,"LM","LM: ρ=0.88, q=0.0059",NA
"Regulation of
Oxidative Stress Response","Haemophilus","Up",238,0.204200583289326,-0.442424242424242,0.350058142781701,"LM","LM: ρ=-0.44, q=0.35",NA
"Regulation of
Oxidative Stress Response","Shigella","Up",34,0.0098441361663116,0.793939393939394,0.0196882723326232,"LM","LM: ρ=0.79, q=0.02",NA
"Regulation of
Oxidative Stress Response","Phocaeicola vulgatus","Up",126,0.513898326223936,0.236363636363636,0.685197768298581,"LM","LM: ρ=0.24, q=0.69",NA
"Regulation of
Oxidative Stress Response","Prevotella copri","Down",152,0.83800409458326,0.0787878787878788,0.83800409458326,"LM","LM: ρ=0.08, q=0.84",NA
