"Genus","ARO_Accession","Resistance_Mechanism","Association","statistic","p.value","estimate","qval","Group","label.lm","label.con"
"Vespertilionpoxvirus","3005059","antibiotic efflux","Up",222,0.330549465992496,-0.345454545454545,0.665979192846838,"LM","LM: ρ=-0.35, q=0.67",NA
"Kleczkowskavirus","3000516","antibiotic efflux","Up",221.170472236038,0.335782263098531,-0.340427104460836,0.634815579453097,"LM","LM: ρ=-0.34, q=0.63",NA
"Bequatrovirus","3003551","antibiotic efflux","Up",220.714711093732,0.33997117423968,-0.33766491571959,1,"LM","LM: ρ=-0.34, q=1",NA
"Kayvirus","3003922","antibiotic efflux","Up",220,0.348846243872153,-0.333333333333333,0.769720193875235,"LM","LM: ρ=-0.33, q=0.77",NA
"Kleczkowskavirus","3003923","antibiotic efflux","Up",220,0.348846243872153,-0.333333333333333,0.634815579453097,"LM","LM: ρ=-0.33, q=0.63",NA
"Vespertilionpoxvirus","3004588","antibiotic efflux","Up",220,0.348846243872153,-0.333333333333333,0.665979192846838,"LM","LM: ρ=-0.33, q=0.67",NA
"Vespertilionpoxvirus","3005053","antibiotic target alteration","Up",220,0.348846243872153,-0.333333333333333,0.665979192846838,"LM","LM: ρ=-0.33, q=0.67",NA
"Deltaentomopoxvirus","3000190","antibiotic target protection","Up",219.403663669735,0.352168660821274,-0.32971917375597,0.624180380260589,"CON",NA,"CON: ρ=-0.33, q=0.62"
"Mimivirus","3000190","antibiotic target protection","Up",219.403663669735,0.352168660821274,-0.32971917375597,0.973408063507424,"CON",NA,"CON: ρ=-0.33, q=0.97"
"Bequatrovirus","3000516","antibiotic efflux","Up",218.161339794822,0.363927075967511,-0.322189938150434,1,"LM","LM: ρ=-0.32, q=1",NA
"Deltaentomopoxvirus","3003922","antibiotic efflux","Up",218,0.367683999158498,-0.321212121212121,0.676545641623451,"LM","LM: ρ=-0.32, q=0.68",NA
"Pegunavirus","3004122","reduced permeability to antibiotic","Down",218,0.367683999158498,-0.321212121212121,0.701942180211677,"LM","LM: ρ=-0.32, q=0.7",NA
"Nebovirus","3001855","antibiotic inactivation","Down",216.629653475618,0.378689016672347,-0.312906990761323,0.586725337342254,"LM","LM: ρ=-0.31, q=0.59",NA
"Oryzopoxvirus","3000190","antibiotic target protection","Down",216.629653475618,0.378689016672347,-0.312906990761323,0.830567539789746,"LM","LM: ρ=-0.31, q=0.83",NA
"Kayvirus","3003209","antibiotic inactivation","Up",216,0.387054968154447,-0.309090909090909,0.769720193875235,"LM","LM: ρ=-0.31, q=0.77",NA
"Kayvirus","3003948","antibiotic efflux","Up",215.136709656423,0.393354744416693,-0.303858846402561,0.769720193875235,"LM","LM: ρ=-0.3, q=0.77",NA
"Bequatrovirus","3000191","antibiotic target protection","Up",214.149163206533,0.403203872632914,-0.297873716403232,0.798254289787734,"CON",NA,"CON: ρ=-0.3, q=0.8"
"Kleczkowskavirus","3000191","antibiotic target protection","Up",214.149163206533,0.403203872632914,-0.297873716403232,0.798254289787734,"CON",NA,"CON: ρ=-0.3, q=0.8"
"Parapoxvirus","3000191","antibiotic target protection","Up",214.149163206533,0.403203872632914,-0.297873716403232,0.798254289787734,"CON",NA,"CON: ρ=-0.3, q=0.8"
"Vespertilionpoxvirus","3000191","antibiotic target protection","Up",214.149163206533,0.403203872632914,-0.297873716403232,0.798254289787734,"CON",NA,"CON: ρ=-0.3, q=0.8"
"Nebovirus","3004588","antibiotic efflux","Down",214,0.406950227375658,-0.296969696969697,0.586725337342254,"LM","LM: ρ=-0.3, q=0.59",NA
"Kayvirus","3000300","antibiotic target protection","Up",213.49243372973,0.409818125639198,-0.29389353775594,0.769720193875235,"LM","LM: ρ=-0.29, q=0.77",NA
"Kleczkowskavirus","3002459","antibiotic inactivation","Up",213.146119059461,0.413326602860858,-0.291794660966431,0.634815579453097,"LM","LM: ρ=-0.29, q=0.63",NA
"Kayvirus","3003551","antibiotic efflux","Up",212.871355387817,0.416120253507059,-0.29012942659283,1,"CON",NA,"CON: ρ=-0.29, q=1"
"Pegunavirus","3000191","antibiotic target protection","Down",212.871355387817,0.416120253507059,-0.29012942659283,0.713469240196795,"LM","LM: ρ=-0.29, q=0.71",NA
"Kleczkowskavirus","3001855","antibiotic inactivation","Up",212.580268889295,0.419089526673038,-0.288365265995729,0.634815579453097,"LM","LM: ρ=-0.29, q=0.63",NA
"Mimivirus","3003209","antibiotic inactivation","Up",212,0.427359698875701,-0.284848484848485,0.907082839004661,"LM","LM: ρ=-0.28, q=0.91",NA
"Deltaentomopoxvirus","3003948","antibiotic efflux","Up",210.86975564311,0.436736647830521,-0.277998519049151,0.676545641623451,"LM","LM: ρ=-0.28, q=0.68",NA
"Kleczkowskavirus","3003948","antibiotic efflux","Up",210.86975564311,0.436736647830521,-0.277998519049151,0.634815579453097,"LM","LM: ρ=-0.28, q=0.63",NA
"Pegunavirus","3002875","antibiotic target replacement","Down",210.3971720023,0.44167143440754,-0.275134375771518,0.713469240196795,"LM","LM: ρ=-0.28, q=0.71",NA
"Cepunavirus","3000196","antibiotic target protection","Down",210,0.448272158936988,-0.272727272727273,0.51185925894828,"CON",NA,"CON: ρ=-0.27, q=0.51"
"Nebovirus","3003209","antibiotic inactivation","Down",210,0.448272158936988,-0.272727272727273,0.588357208604797,"LM","LM: ρ=-0.27, q=0.59",NA
"Oryzopoxvirus","3001855","antibiotic inactivation","Down",208.530884302972,0.461405071361409,-0.263823541230135,0.830567539789746,"LM","LM: ρ=-0.26, q=0.83",NA
"Tequintavirus","3000190","antibiotic target protection","Up",208.530884302972,0.461405071361409,-0.263823541230135,0.879904299312423,"LM","LM: ρ=-0.26, q=0.88",NA
"Kleczkowskavirus","3000300","antibiotic target protection","Up",208.333664184014,0.463513026333565,-0.262628267781903,0.634815579453097,"LM","LM: ρ=-0.26, q=0.63",NA
"Pegunavirus","3000196","antibiotic target protection","Down",208,0.469675250206491,-0.260606060606061,0.469675250206491,"CON",NA,"CON: ρ=-0.26, q=0.47"
"Deltaentomopoxvirus","3003923","antibiotic efflux","Up",208,0.469675250206491,-0.260606060606061,0.676545641623451,"LM","LM: ρ=-0.26, q=0.68",NA
"Kayvirus","3004588","antibiotic efflux","Up",208,0.469675250206491,-0.260606060606061,0.769720193875235,"LM","LM: ρ=-0.26, q=0.77",NA
"Parapoxvirus","3003209","antibiotic inactivation","Up",208,0.469675250206491,-0.260606060606061,0.66709083469187,"LM","LM: ρ=-0.26, q=0.67",NA
"Vespertilionpoxvirus","3004580","antibiotic efflux","Up",208,0.469675250206491,-0.260606060606061,0.793373193209624,"LM","LM: ρ=-0.26, q=0.79",NA
"Kayvirus","3000516","antibiotic efflux","Up",207.127854177028,0.476493453351336,-0.255320328345627,0.769720193875235,"LM","LM: ρ=-0.26, q=0.77",NA
"Parapoxvirus","3000516","antibiotic efflux","Up",207.127854177028,0.476493453351336,-0.255320328345627,0.66709083469187,"LM","LM: ρ=-0.26, q=0.67",NA
"Kleczkowskavirus","3005059","antibiotic efflux","Up",206,0.491555497342584,-0.248484848484848,0.634815579453097,"LM","LM: ρ=-0.25, q=0.63",NA
"Pegunavirus","3000518","antibiotic efflux","Down",206,0.491555497342584,-0.248484848484848,0.737333246013876,"LM","LM: ρ=-0.25, q=0.74",NA
"Vespertilionpoxvirus","3000300","antibiotic target protection","Up",205.238402456584,0.497146492033389,-0.243869105797482,0.793373193209624,"LM","LM: ρ=-0.24, q=0.79",NA
"Bequatrovirus","3000190","antibiotic target protection","Up",204.469324623141,0.505660100612127,-0.239208028019037,0.798254289787734,"CON",NA,"CON: ρ=-0.24, q=0.8"
"Kleczkowskavirus","3000190","antibiotic target protection","Up",204.469324623141,0.505660100612127,-0.239208028019037,0.798254289787734,"CON",NA,"CON: ρ=-0.24, q=0.8"
"Parapoxvirus","3000190","antibiotic target protection","Up",204.469324623141,0.505660100612127,-0.239208028019037,0.798254289787734,"CON",NA,"CON: ρ=-0.24, q=0.8"
"Vespertilionpoxvirus","3000190","antibiotic target protection","Up",204.469324623141,0.505660100612127,-0.239208028019037,0.798254289787734,"CON",NA,"CON: ρ=-0.24, q=0.8"
"Cepunavirus","3002459","antibiotic inactivation","Down",204.118721735812,0.509561409261831,-0.237083162035225,0.886511860281654,"LM","LM: ρ=-0.24, q=0.89",NA
"Kleczkowskavirus","3004122","reduced permeability to antibiotic","Up",204,0.513898326223936,-0.236363636363636,0.634815579453097,"LM","LM: ρ=-0.24, q=0.63",NA
"Kleczkowskavirus","3004588","antibiotic efflux","Up",204,0.513898326223936,-0.236363636363636,0.634815579453097,"LM","LM: ρ=-0.24, q=0.63",NA
"Cepunavirus","3000300","antibiotic target protection","Down",203.174894638298,0.52012572767066,-0.231362997807867,0.886511860281654,"LM","LM: ρ=-0.23, q=0.89",NA
"Vividuovirus","3000516","antibiotic efflux","Up",202.112633441668,0.532122058693594,-0.224925051161624,0.79818308804039,"LM","LM: ρ=-0.22, q=0.8",NA
"Mimivirus","3000518","antibiotic efflux","Up",202,0.536688086753551,-0.224242424242424,0.907082839004661,"LM","LM: ρ=-0.22, q=0.91",NA
"Vespertilionpoxvirus","3004122","reduced permeability to antibiotic","Up",202,0.536688086753551,-0.224242424242424,0.793373193209624,"LM","LM: ρ=-0.22, q=0.79",NA
"Tequintavirus","3000191","antibiotic target protection","Up",200.106545147524,0.555075995998558,-0.212766940288023,0.886774217724859,"CON",NA,"CON: ρ=-0.21, q=0.89"
"Cepunavirus","3004580","antibiotic efflux","Down",200,0.559908079271241,-0.212121212121212,0.886511860281654,"LM","LM: ρ=-0.21, q=0.89",NA
"Vespertilionpoxvirus","3000516","antibiotic efflux","Up",199.103501000452,0.566695138006874,-0.206687884851222,0.793373193209624,"LM","LM: ρ=-0.21, q=0.79",NA
"Deltaentomopoxvirus","3004588","antibiotic efflux","Up",198,0.58354058456642,-0.2,0.765897017243427,"LM","LM: ρ=-0.2, q=0.77",NA
"Kayvirus","3000300","antibiotic target protection","Up",197.826705478811,0.581617982530953,-0.198949730174611,1,"CON",NA,"CON: ρ=-0.2, q=1"
"Kayvirus","3002875","antibiotic target replacement","Up",197.826705478811,0.581617982530953,-0.198949730174611,1,"CON",NA,"CON: ρ=-0.2, q=1"
"Deltaentomopoxvirus","3000196","antibiotic target protection","Up",196,0.607566897460635,-0.187878787878788,0.781157439592245,"CON",NA,"CON: ρ=-0.19, q=0.78"
"Tequintavirus","3003948","antibiotic efflux","Up",195.935416596516,0.603986498302259,-0.187487373312218,0.879904299312423,"LM","LM: ρ=-0.19, q=0.88",NA
"Pegunavirus","3001855","antibiotic inactivation","Down",194.358038250842,0.62287318465218,-0.177927504550556,0.855930121768605,"LM","LM: ρ=-0.18, q=0.86",NA
"Oryzopoxvirus","3004588","antibiotic efflux","Down",194,0.631967363906088,-0.175757575757576,0.985082132284798,"LM","LM: ρ=-0.18, q=0.99",NA
"Tequintavirus","3000300","antibiotic target protection","Up",193.889109456009,0.628526897487461,-0.175085511854602,0.879904299312423,"LM","LM: ρ=-0.18, q=0.88",NA
"Mimivirus","3003551","antibiotic efflux","Up",193.72281323269,0.630536075556976,-0.174077655955698,0.973408063507424,"CON",NA,"CON: ρ=-0.17, q=0.97"
"Tequintavirus","3003551","antibiotic efflux","Up",193.72281323269,0.630536075556976,-0.174077655955698,0.886774217724859,"CON",NA,"CON: ρ=-0.17, q=0.89"
"Bequatrovirus","3000191","antibiotic target protection","Up",193.72281323269,0.630536075556976,-0.174077655955698,1,"LM","LM: ρ=-0.17, q=1",NA
"Vespertilionpoxvirus","3000191","antibiotic target protection","Up",193.72281323269,0.630536075556976,-0.174077655955698,0.795442250723357,"LM","LM: ρ=-0.17, q=0.8",NA
"Parapoxvirus","3002459","antibiotic inactivation","Up",193.085236118019,0.638259358367279,-0.170213552230418,0.769531178233781,"LM","LM: ρ=-0.17, q=0.77",NA
"Mimivirus","3002459","antibiotic inactivation","Up",192.082191970947,0.650473139698841,-0.164134496793617,0.907082839004661,"LM","LM: ρ=-0.16, q=0.91",NA
"Nebovirus","3002459","antibiotic inactivation","Down",192.082191970947,0.650473139698841,-0.164134496793617,0.753576869106338,"LM","LM: ρ=-0.16, q=0.75",NA
